,open,close,high,low,volume,money
2015-07-29,3839.96,3930.38,3934.0,3769.19,27697284500.0,372287868068.0
2015-07-30,3915.78,3815.41,3968.53,3802.88,27154866500.0,376351170573.0
2015-07-31,3777.16,3816.7,3863.62,3757.99,22237676700.0,299312543754.0
2015-08-03,3766.07,3829.24,3829.24,3742.58,24580503000.0,309631297700.0
2015-08-04,3827.37,3948.16,3948.45,3801.03,22023655600.0,288756503266.0
2015-08-05,3937.62,3866.9,3962.28,3858.66,20048426900.0,272693513971.0
2015-08-06,3802.93,3831.85,3888.69,3793.24,14727869400.0,195532363765.0
2015-08-07,3866.43,3906.95,3926.65,3857.91,18334915300.0,246546119056.0
2015-08-10,3947.47,4084.36,4101.73,3932.84,30678054000.0,401702020648.0
2015-08-11,4083.59,4066.67,4110.13,4042.0,32203419100.0,416996541243.0
2015-08-12,4025.67,4016.13,4078.03,4015.36,25514619600.0,339799364935.0
2015-08-13,4010.01,4075.46,4075.7,3967.82,24283697900.0,319887602964.0
2015-08-14,4097.92,4073.54,4113.16,4056.73,25339299600.0,340076813259.0
2015-08-17,4058.11,4077.87,4081.77,4009.99,25693963800.0,336830563044.0
2015-08-18,4084.31,3825.41,4103.05,3816.55,31988107000.0,424924184411.0
2015-08-19,3748.27,3886.14,3898.74,3668.19,26904983900.0,340923470856.0
2015-08-20,3848.4,3761.45,3880.82,3761.45,21216796500.0,270576698834.0
2015-08-21,3714.29,3589.54,3757.78,3578.18,21798640300.0,267498426435.0
2015-08-24,3454.6,3275.53,3468.15,3266.55,25543665200.0,273124228208.0
2015-08-25,3070.01,3042.93,3200.11,3019.56,27608130600.0,281160333742.0
2015-08-26,3062.57,3025.69,3192.93,2952.01,30827062300.0,312188248685.0
2015-08-27,3092.81,3205.64,3206.72,3028.4,26729493000.0,278769983405.0
2015-08-28,3246.24,3342.29,3353.24,3223.62,29949842600.0,318763482694.0
2015-08-31,3307.4,3366.54,3368.28,3205.54,28025040300.0,306610891136.0
2015-09-01,3296.53,3362.08,3370.5,3190.58,35245852800.0,351387828324.0
2015-09-02,3220.85,3365.83,3387.02,3213.64,34778941200.0,348986389305.0
2015-09-07,3347.29,3250.49,3422.22,3240.24,20422443100.0,221756790269.0
2015-09-08,3221.79,3334.02,3340.22,3170.81,15459963100.0,168294750030.0
2015-09-09,3344.82,3399.3,3426.65,3330.29,22046742100.0,258815794996.0
2015-09-10,3349.28,3357.56,3398.32,3337.31,14488297100.0,168108269695.0
2015-09-11,3349.88,3347.19,3383.13,3315.48,10854750800.0,130262410873.0
2015-09-14,3367.64,3281.13,3373.92,3187.57,20545725100.0,226168550065.0
2015-09-15,3208.74,3152.23,3240.08,3131.98,14355564100.0,145989213753.0
2015-09-16,3149.16,3309.25,3345.92,3131.37,15970999400.0,168269840344.0
2015-09-17,3287.66,3237.0,3354.91,3237.0,16940188100.0,190270181393.0
2015-09-18,3254.44,3251.27,3280.88,3227.83,10690348100.0,121752531747.0
2015-09-21,3222.6,3308.25,3312.55,3211.93,12278866800.0,145323018237.0
2015-09-22,3312.37,3339.03,3371.41,3303.18,14622198500.0,172492862561.0
2015-09-23,3290.07,3263.03,3315.93,3253.33,12317143900.0,136885975737.0
2015-09-24,3278.9,3285.0,3300.86,3255.9,10201123800.0,120820642496.0
2015-09-25,3272.66,3231.95,3290.86,3201.91,12141927800.0,137602168790.0
2015-09-28,3226.61,3242.75,3246.55,3186.51,7421946800.0,88007466971.0
2015-09-29,3197.22,3178.85,3208.42,3159.04,8715063300.0,96691510035.0
2015-09-30,3195.9,3202.95,3223.91,3186.77,7855934900.0,95881598729.0
2015-10-08,3324.98,3296.48,3337.33,3294.61,13208176800.0,164120601354.0
2015-10-09,3302.36,3340.12,3352.38,3293.97,12435250000.0,144731343186.0
2015-10-12,3351.14,3447.69,3486.63,3347.25,22140046800.0,263706468495.0
2015-10-13,3422.48,3445.04,3452.05,3413.97,14543378600.0,174978937957.0
2015-10-14,3431.14,3406.11,3458.7,3403.23,15217393800.0,174599255680.0
2015-10-15,3403.39,3486.82,3486.82,3402.32,17115829900.0,201881880361.0
2015-10-16,3508.52,3534.07,3537.54,3487.1,20896470900.0,252211491386.0
2015-10-19,3548.95,3534.18,3572.99,3502.51,20760674400.0,254890985147.0
2015-10-20,3527.88,3577.7,3577.8,3510.44,17902510800.0,226525577194.0
2015-10-21,3580.84,3473.25,3601.24,3417.41,28207605000.0,326886985805.0
2015-10-22,3453.2,3524.53,3530.77,3442.31,18430558000.0,223583606540.0
2015-10-23,3536.84,3571.24,3581.84,3515.82,19829447800.0,247059685203.0
2015-10-26,3614.7,3589.26,3620.76,3561.19,20424886300.0,270489759134.0
2015-10-27,3569.45,3592.88,3601.05,3486.1,19205614000.0,239042538536.0
2015-10-28,3575.8,3524.92,3598.17,3517.21,17097709800.0,213303023833.0
2015-10-29,3539.98,3533.31,3561.81,3507.97,12701044600.0,161051885808.0
2015-10-30,3530.22,3534.08,3574.47,3497.57,13914191400.0,183317149529.0
2015-11-02,3489.22,3475.96,3543.45,3474.71,13000256800.0,167455101934.0
2015-11-03,3484.72,3465.49,3501.7,3452.62,10140187600.0,132231502584.0
2015-11-04,3477.16,3628.54,3628.54,3477.16,20542386500.0,266955889953.0
2015-11-05,3630.78,3705.97,3781.41,3627.3,39804656800.0,495138171518.0
2015-11-06,3698.34,3793.37,3801.7,3694.66,29875307600.0,389779446699.0
2015-11-09,3796.38,3840.36,3891.77,3796.38,35680482300.0,463161707601.0
